;Species;Month;Day;Year;CaptureTime;ReleaseTime;BandNumber;Age;Sex;Wing;Weight;Culmen;Hallux;Tail;StandardTail;Tarsus;WingPitFat;KeelFat;Crop
228;SS;9;27;1995;09:40:00; ;2003-58468;1;2;201;130;11.7;14.4;156;NA;NA;NA;NA;NA
229;RT;9;27;1995;12:50:00; ;1387-79178;1;;411;1240;26.8;32.7;276;NA;NA;NA;NA;NA
230;RT;9;27;1995;13:55:00; ;1807-53104;1;;373;930;24.4;27.4;210;NA;NA;NA;NA;NA
231;SS;10;1;1995;10:15:00; ;1423-16221;1;1;178;90;10.9;12.1;145;NA;NA;NA;NA;NA
232;RT;10;1;1995;12:04:00; ;1207-64626;1;;415;1240;25.6;31.2;231;NA;NA;NA;NA;NA
233;RT;10;1;1995;12:50:00; ;1387-79179;1;;383;1030;25.2;29.8;216;NA;NA;NA;NA;NA
234;CH;10;2;1995;13:55:00; ;1705-24606;1;1;223;550;18.8;21.3;210;NA;NA;NA;NA;NA
235;RT;10;3;1995;11:20:00; ;1387-79180;1;;390;1250;26.5;32;210;NA;NA;NA;NA;NA
236;RT;10;3;1995;11:45:00; ;1387-79181;1;;390;999;25.3;29.8;220;NA;NA;NA;NA;NA
237;RT;10;4;1995;12:20:00; ;1387-79182;2;;365;1120;26.5;30.8;260;NA;NA;NA;NA;NA
238;RT;10;4;1995;12:54:00; ;1387-79183;2;;345;1000;26.4;30.1;200;NA;NA;NA;NA;NA
239;CH;10;5;1995;11:08:00; ;1705-24607;1;2;273;530;19.2;24.7;213;NA;NA;NA;NA;NA
240;RT;10;6;1995;12:15:00; ;1207-64627;1;;400;1040;27.7;32.1;230;NA;NA;NA;NA;NA
241;RT;10;6;1995;12:36:00; ;1207-64628;1;;380;1150;27.8;31.1;220;NA;NA;NA;NA;NA
242;RT;10;6;1995;13:05:00; ;1207-79184;1;;330;1000;25.9;30.2;220;NA;NA;NA;NA;NA
243;RT;10;6;1995;13:10:00; ;1207-64629;1;;410;1360;33.3;28.6;235;NA;NA;NA;NA;NA
244;RT;10;7;1995;12:00:00; ;1387-79185;1;;313;930;25.7;28.9;215;NA;NA;NA;NA;NA
245;RT;10;9;1995;11:35:00; ;1387-79186;1;;384;980;25.8;30.4;215;NA;NA;NA;NA;NA
246;RT;10;9;1995;11:50:00; ;1207-64660;1;;409;1260;27.7;31.8;221;NA;NA;NA;NA;NA
247;RT;10;9;1995;12:50:00; ;1387-79187;1;;390;900;27.5;28.6;225;NA;NA;NA;NA;NA
248;RT;10;10;1995;11:50:00; ;1207-64630;1;;411;1300;25.9;31.9;238;NA;NA;NA;NA;NA
249;CH;10;10;1995;14:25:00; ;1705-24608;1;2;259;470;16.6;23.4;221;NA;NA;NA;NA;NA
250;RT;10;11;1995;14:25:00; ;1387-79188;2;;380;1040;26.4;30.9;212;NA;NA;NA;NA;NA
251;RT;10;11;1995;14:25:00; ;1387-79189;1;;370;950;27.3;30.5;215;NA;NA;NA;NA;NA
252;RT;10;11;1995;13:15:00; ;1387-79190;1;;415;1320;29.4;33.9;235;NA;NA;NA;NA;NA
253;SS;10;12;1995;10:37:00; ;1204-45807;1;2;215;180;14.1;12.7;132;NA;NA;NA;NA;NA
254;RT;10;12;1995;13:20:00; ;1387-79191;1;;410;1280;27.9;32.7;229;NA;NA;NA;NA;NA
255;RT;10;12;1995;14:20:00; ;1387-79192;1;;412;1310;26.1;31.1;251;NA;NA;NA;NA;NA
256;RT;10;12;1995;14:30:00; ;1207-64631;2;;384;910;26.4;28.4;215;NA;NA;NA;NA;NA
257;RT;10;13;1995;12:05:00; ;1207-64632;1;;404;1220;28.6;30.4;225;NA;NA;NA;NA;NA
258;RT;10;13;1995;13:00:00; ;1387-79193;1;;375;920;23.8;28.8;210;NA;NA;NA;NA;NA
259;RT;10;13;1995;15:00:00; ;1387-79794;1;;410;1135;26.4;32.4;267;NA;NA;NA;NA;NA
260;RT;10;14;1995;10:05:00; ;1387-79195;1;;384;940;26.2;29.8;220;NA;NA;NA;NA;NA
261;RT;10;14;1995;13:25:00; ;1207-64634;1;;385;920;25;32.2;238;NA;NA;NA;NA;NA
262;RT;10;14;1995;13:40:00; ;1387-79196;1;;398;1280;28;32.4;248;NA;NA;NA;NA;NA
263;CH;10;15;1995;14:20:00; ; ;2;;NA;480;17.7;32.1;198;NA;NA;NA;NA;NA
264;RT;10;15;1995;14:30:00; ;1387-79197;1;;425;1220;27.3;33;241;NA;NA;NA;NA;NA
265;RT;10;15;1995;15:00:00; ;1397-79198;1;;401;1000;26.7;28;212;NA;NA;NA;NA;NA
266;RT;10;16;1995;12:35:00; ;1387-79172;1;;387;1120;26.8;50.2;221;NA;NA;NA;NA;NA
267;RT;10;16;1995;13:33:00; ;1807-53105;1;;376;925;26;30.8;233;NA;NA;NA;NA;NA
268;SS;10;17;1995;11:10:00; ;1423-16223;2;1;171;90;9.9;11.9;138;NA;NA;NA;NA;NA
269;RT;10;17;1995;11:45:00; ;1207-64635;2;;420;1280;27.5;31.8;230;NA;NA;NA;NA;NA
270;RT;10;18;1995;12:20:00; ;877-76379;1;;385;985;27.5;30.8;223;NA;NA;NA;NA;NA
271;RT;10;18;1995;13:05:00; ;2107-64631;1;;405;1350;28.3;32.6;226;NA;NA;NA;NA;NA
272;RT;10;18;1995;13:15:00; ;1807-53107;1;;350;730;24.6;25.7;208;NA;NA;NA;NA;NA
273;RT;10;18;1995;12:00:00; ;1387-79200;1;;388;890;27.8;31.2;231;NA;NA;NA;NA;NA
274;RT;10;18;1995;12:02:00; ;877-76380;1;;398;1020;26.5;31.1;217;NA;NA;NA;NA;NA
275;RT;10;20;1995;10:10:00; ;1207-64637;2;;410;1000;27.1;30.6;230;NA;NA;NA;NA;NA
276;SS;10;23;1995;10:30:00; ;2003-58469;1;2;202;150;11.7;14.1;153;NA;NA;NA;NA;NA
277;SS;10;23;1995;12:20:00; ;1343-78405;1;2;204;180;11.5;12.4;186;NA;NA;NA;NA;NA
278;RT;11;2;1995;12:05:00; ;8777-63481;2;;382;1020;26.5;29.4;225;NA;NA;NA;NA;NA
279;RT;11;2;1995;13:00:00; ;1207-64638;1;;111;1340;26.85;31.9;226;NA;NA;NA;NA;NA
280;RT;11;20;1995;14:10:00; ;1207-64639;1;;396;1300;27.3;30.5;214;NA;NA;NA;NA;NA
281;RT;11;21;1995;11:45:00; ;8777-6382;1;;363;1015;25.5;30.1;242;NA;NA;NA;NA;NA
282;RT;10;2;1996;09:47:00; ;1807-53108;1;;360;900;30.5;28.8;220;NA;NA;NA;NA;NA
283;RT;10;10;1996;10:45:00; ;1207-64640;1;;390;1000;26.1;29.6;250;NA;NA;NA;NA;NA
284;SS;10;10;1996;11:07:00; ;1204-45808;1;1;195;150;12.3;14.6;178;NA;NA;NA;NA;NA
285;RT;10;10;1996;12:15:00; ;1207-64641;2;;390;1050;24.8;32.5;220;NA;NA;NA;NA;NA
286;RT;10;10;1996;13:20:00; ;1207-64642;1;;380;950;24.9;29;240;NA;NA;NA;NA;NA
287;CH;10;14;1996;09:40:00; ;1705-24609;1;1;225;350;12.6;26;215;NA;NA;NA;NA;NA
288;CH;10;17;1996;13:05:00; ;1705-24610;2;1;247;375;16.9;18.2;160;NA;NA;NA;NA;NA
289;RT;10;18;1996;10:58:00; ;1207-64643;2;;415;1175;28.3;33.2;230;NA;NA;NA;NA;NA
290;RT;10;23;1996;09:25:00; ;1387-92101;1;;354;980;25.8;29.3;220;NA;NA;NA;NA;NA
291;RT;10;24;1996;10:35:00; ;1387-92102;2;;417;1260;29;32.8;234;NA;NA;NA;NA;NA
292;RT;10;24;1996;11:18:00; ;1387-92103;1;;379;1050;25.9;31.3;226;NA;NA;NA;NA;NA
293;RT;10;25;1996;10:40:00; ;1207-64644;2;;412;1330;29.2;32.2;218;NA;NA;NA;NA;NA
294;RT;10;27;1996;16:16:00; ;1387-92104;2;;377;980;28;29.1;209;NA;NA;NA;NA;NA
295;RT;10;28;1996;12:40:00; ;1387-92105;1;;372;920;25.3;30;228;NA;NA;NA;NA;NA
296;RT;10;30;1996;09:25:00; ; ;1;;420;1540;29.9;35.5;235;NA;NA;NA;NA;NA
297;RT;10;30;1996;11:30:00; ;1387-92106;1;;368;1060;25.5;26.9;223;NA;NA;NA;NA;NA
298;RT;11;1;1996;14:05:00; ;1207-64645;1;;406;1420;29.9;32;245;NA;NA;NA;NA;NA
299;CH;11;7;1996;13:20:00; ;1705-24611;1;1;225;400;15;20;202;NA;NA;NA;NA;NA
300;RT;9;9;1997;12:01:00; ;1387-92125;1;;392;1142;27.2;33;235;244;89.3;0;1;0
301;SS;9;9;1997;13:06:00;13:26:00;2003-58576;1;2;191;157;12;13.8;158;162;57;2;2;0
302;SS;9;10;1997;10:39:00;10:53:00;1423-16276;1;1;161;98;10.3;11.7;133;137;48.4;1;2;0.25
303;RT;9;10;1997;14:35:00;14:50:00;1387-92127;1;;365;813;26.2;30.1;221;224;86.6;0;0;0
304;SS;9;11;1997;10:05:00;10:32:00;1423-16277;1;1;156;94;9.9;11.4;125;129;48.6;1;2;0.25
305;SS;9;12;1997;11:00:00;10:20:00;2003-58577;1;2;191;155;16.5;14.4;158;161;54.3;0;1;0
306;SS;9;14;1997;10:46:00;11:00:00;2003-58578;1;2;198;181;12.5;14.1;159;164;56;2;2;0
307;SS;9;14;1997;12:35:00;12:50:00;872-09631;1;1;160;92;9.8;11;132;135;48.3;2;1;0
308;SS;9;17;1997;12:26:00;13:10:00;872-09633;1;1;164;98;10.1;11.4;136;138;50.5;2;1;0
309;RT;9;17;1997;13:04:00;13:45:00;1387-92128;1;;352;1024;26.6;30.3;216;225;90.2;0;0;0
310;CH;9;17;1997;15:02:00;14:07:00;1705-24626;1;2;265;464;19.2;24.1;225;229;73.3;0;0;0
311;SS;9;18;1997;11:16:00;11:28:00;872-09634;1;1;163;100;10.4;11.2;137;139;44.5;1;1;0.25
312;SS;9;18;1997;14:33:00;14:45:00;1423-16228;1;2;193;186;12.8;14;155;159;57.6;3;2;0.25
313;SS;9;19;1997;13:05:00;13:36:00;1423-16229;1;2;190;164;11.9;14.5;155;160;57.5;2;1;0
314;SS;9;20;1997;10:30:00;10:42:00;972-04635;1;1;165;98;10.1;11.4;138;142;50.2;0;1;0
315;SS;9;21;1997;10:56:00;11:22:00;972-09636;1;1;162;NA;NA;NA;130;NA;NA;2;1;0.25
316;SS;9;21;1997;11:42:00;11:50:00;1426-16230;2;2;198;158;12.1;14.5;154;160;55;0;1;0
317;RT;9;21;1997;11:55:00;12:07:00;1387-92129;1;;370;1023;25.8;30.1;216;228;82.8;1;0;0.25
318;RT;9;23;1997;13:35:00;11:55:00;1202-72601;1;;230;340;16.5;30.5;200;225;85.5;0;0;0.25
319;CH;9;23;1997;11:43:00;12:09:00;1705-24627;1;1;194;163;12.2;20;158;206;67.5;2;1;0
320;SS;9;23;1997;12:00:00;12:24:00;1423-16231;1;2;157;92;9.8;14.7;132;160;55;1;1;0
321;SS;9;23;1997;12:13:00;10:50:00;872-09638;1;1;260;550;19.5;11.2;215;136;49.8;1;0;0
322;CH;9;24;1997;10:19:00; ;1705-24628;2;2;377;1119;25.4;23.9;226;224;24.7;1;1;1
323;RT;9;24;1997;11:20:00; ;1387-92130;1;;364;917;26;29.6;216;225;85.1;0;0;0
324;RT;9;25;1997;10:45:00; ;1387-92131;1;;367;946;26.7;28.9;221;232;88.9;0;1;0
325;RT;9;25;1997;11:00:00; ;1387-92132;1;;233;337;15.7;31.9;196;225;87.4;0;0;0.5
326;CH;9;25;1997;12:05:00; ;1204-45809;1;1;336;742;23.4;18.8;221;205;67.2;0;0;0
327;SS;9;26;1997;10:10:00; ;1423-16233;1;2;259;439;18.8;15.2;218;171;57;0;0;0
328;CH;9;26;1997;10:59:00; ;1705-24629;1;2;199;187;12.2;24.2;157;221;74.4;1;1;0.5
329;SS;9;26;1997;13:35:00;13:52:00;1423-16232;1;2;165;92;9.7;14.6;135;162;56.5;2;1;0
330;SS;9;26;1997;13:36:00;14:40:00;872-09639;1;1;370;1094;27.3;11.5;221;139;47.7;1;0;0
331;RT;9;26;1997;14:26:00; ;1387-92133;1;;362;832;23.8;32.6;210;230;87.1;0;1;0
332;RT;9;30;1997;12:10:00; ;1207-72602;2;;368;1244;NA;NA;220;NA;NA;NA;NA;NA
333;RT;9;30;1997;12:50:00; ;1387-92134;1;;368;1244;26.7;30.2;220;228;85.4;1;1;0
334;RT;10;1;1997;10:50:00;11:00:00;1387-92135;1;;367;974;25.2;29.6;221;240;85.2;0;0;0
335;RT;10;1;1997;11:58:00;12:27:00;1387-92136;1;;400;1289;28.6;32.1;242;261;86.9;0;0;0
336;RT;10;1;1997;12:25:00;12:41:00;1387-92137;1;;379;999;28.3;32;220;238;90.1;0;1;0
337;RT;10;1;1997;12:32:00;12:59:00;1387-92138;1;;360;994;26.5;30.4;210;232;84.8;0;1;0
338;RT;10;1;1997;12:57:00;13:14:00;1387-92139;1;;362;1004;27;31.4;221;240;86.8;0;1;0
339;RT;10;2;1997;11:52:00;12:05:00;1387-92140;1;;378;1097;28.9;33.4;236;244;91.3;0;1;0
340;SS;10;2;1997;13:17:00;13:32:00;1423-16234;1;2;201;185;13.1;14.5;162;167;58.1;1;1;0
341;SS;10;6;1997;12:01:00;12:21:00;1423-16235;1;1;193;181;12.8;11.5;150;152;52.4;0;0;0
342;RT;10;6;1997;14:08:00;14:37:00;1387-92141;1;;372;1092;27.2;31.8;235;239;85.2;0;1;0
343;RT;10;8;1997;10:00:00;10:25:00;1387-92142;1;;369;1049;30.1;32;231;240;84.9;0;0;0
344;RT;10;8;1997;11:52:00;12:13:00;1387-92143;1;;354;998;27.2;29.2;227;234;81.7;1;1;0
345;RT;10;9;1997;09:57:00;11:07:00;1387-92144;1;;367;1091;31.8;34.2;238;249;91.7;0;0;0
346;RT;10;9;1997;13:00:00;13:32:00;1387-92145;1;;349;987;29;31.1;225;237;89;0;0;0
347;RT;10;9;1997;13:27:00;13:57:00;1387-92146;1;;375;1151;34.1;33.7;249;250;94;1;1;0.25
348;RT;10;9;1997;14:27:00;14:50:00;1387-92147;1;;343;971;25.1;26.1;213;224;79.3;0;0;0
349;RT;10;9;1997;14:58:00;15:15:00;1387-92148;1;;360;1159;32.9;34;240;252;91.2;1;1;0
350;RT;10;10;1997;11:45:00;12:00:00;1387-92149;1;;395;1239;26.7;33.2;231;243;90.3;0;2;0
351;RT;10;10;1997;11:55:00;12:08:00;1397-92150;1;;400;1216;28.5;32.1;227;239;84.4;0;2;0
352;SS;10;10;1997;12:10:00;12:30:00;1423-16236;2;2;170;177;12.3;14.4;155;165;54.6;3;2;0
353;CH;10;13;1997;14:21:00;14:45:00;1705-24630;1;2;268;469;20;24.9;227;232;75.3;1;1;0
354;RT;10;14;1997;11:52:00;12:05:00;1387-92151;1;;369;1039;26.9;29.5;223;245;87.4;1;2;0
355;RT;10;14;1997;14:15:00;14:30:00;1387-92152;1;;365;1079;25.2;30;228;239;86.2;0;0;0
356;RT;10;16;1997;13:05:00;13:25:00;1387-92153;2;;375;1159;33.8;32.7;242;252;91;1;0;0
357;SS;10;17;1997;10:00:00; ;1423-16238;1;1;230;162;12.3;13.8;149;153;52.5;0;0;0
358;CH;10;17;1997;14:35:00;15:00:00;12044-5876;2;1;213;339;23.5;13.8;184;181;71.2;0;1;0
359;RT;10;20;1997;11:21:00;11:35:00;1387-92154;2;;382;1403;34.9;34.7;247;259;92.5;0;1;1
360;SS;10;20;1997;12:34:00;12:50:00;1423-16239;1;1;168;175;12.9;14;158;167;55.9;2;2;0
361;RT;10;20;1997;12:49:00;13:05:00;1387-92155;2;;478;1473;39.2;44.7;267;272;NA;2;2;0.5
362;RT;10;20;1997;13:05:00;13:20:00;1387-92157;1;;469;1001;29.9;43.2;257;269;NA;1;0;0
363;SS;10;21;1997;12:16:00;12:33:00;1423-16278;1;1;172;98;8.7;10.9;148;148;53.4;1;0;0
364;RT;10;21;1997;13:47:00;14:10:00;1387-92156;1;;373;914;25.9;30.4;221;251;93.7;1;1;0.5
365;RT;10;23;1997;12:10:00;12:36:00;1387-92158;2;;386;1059;25.5;30.5;214;227;92.5;NA;1;0.5
366;RT;10;23;1997;14:36:00;15:03:00;1207-72603;1;;384;1147;29;35;229;236;91.9;NA;NA;NA
367;RT;10;31;1997;11:00:00;11:47:00;1807-53127;1;;351;949;26.8;29.7;213;216;NA;0;0;0
368;SS;10;31;1997;11:50:00;12:14:00;872-09640;1;1;168;102;9.6;11.9;138;136;50;2;1;0
369;RT;11;1;1997;12:21:00;12:34:00;1807-53128;1;;363;973;24.8;27.3;213;220;84.1;0;1;0.75
370;SS;11;1;1997;14:22:00;14:34:00;1423-16240;1;2;199;196;12.4;15.2;158;163;56.5;2;2;NA
371;CH;11;3;1997;11:30:00;12:01:00;12044-5877;1;1;235;327;16.5;20.3;193;196;69.2;1;1;0
372;RT;11;3;1997;12:15:00; ;1387-92159;2;;374;1064;26;32.1;201;210;85.2;1;1;0.5
373;RT;11;3;1997;12:52:00; ;1807-53129;1;;369;749;24;26.8;216;224;60.1;0;0;0
374;SS;11;6;1997;11:22:00;11:41:00;1343-78476;1;2;202;201;11.7;14.9;165;166;56.8;3;2;0
375;SS;11;7;1997;11:26:00;11:46:00;1423-16241;1;2;202;180;12.4;14.1;160;164;55.3;2;2;0
376;RT;11;10;1997;12:30:00;12:49:00;1387-92160;1;;374;1213;24.9;28;244;218;87.9;1;2;0
377;RT;11;11;1997;11:10:00;11:35:00;1387-92161;1;;389;1200;28.2;30.8;230;240;81.7;2;1;0
378;RT;11;15;1997;12:54:00;13:08:00;1387-92162;1;;379;1040;25.3;29.4;227;234;80.8;1;0;0
379;SS;11;18;1997;11:25:00; ;872-09641;1;1;170;113;10.6;11.1;139;141;54;0;1;0
380;RT;9;20;1998;14:45:00; ;1387-92166;1;;373;919;24.2;28.5;233;NA;NA;NA;NA;NA
381;RT;9;21;1998;11:45:00; ;1207-72604;1;;403;1487;26;32.5;240;NA;NA;NA;NA;NA
382;RT;10;1;1998;10:42:00; ;1207-72606;1;;400;1254;25.2;30;237;NA;NA;NA;NA;NA
383;SS;10;8;1998;09:45:00; ;2003-58581;2;2;205;156;10.8;14.1;144;NA;NA;NA;NA;NA
384;RT;10;8;1998;10:45:00; ;1207-72607;1;;405;1189;27.7;31.3;210;NA;NA;NA;NA;NA
385;RT;10;8;1998;14:10:00; ;1387-92173;1;;382;979;24.8;27.9;225;NA;NA;NA;NA;NA
386;SS;10;9;1998;11:15:00; ;1142-19209;2;1;165;96;10.7;11.4;125;NA;NA;NA;NA;NA
387;RT;10;9;1998;12:10:00; ;1387-92174;1;;407;1339;27.3;33.4;246;NA;NA;NA;NA;NA
388;RT;10;9;1998;12:25:00; ;1387-92175;1;;403;1199;28.8;31;225;NA;NA;NA;NA;NA
389;RT;10;10;1998;11:00:00; ;1207-72608;1;;406;1344;27.9;33.1;230;NA;NA;NA;NA;NA
390;RT;10;10;1998;12:05:00; ;1387-92196;1;;381;969;26.1;31.1;220;NA;NA;NA;NA;NA
391;RT;10;12;1998;10:15:00; ;1387-92177;1;;395;1039;26;29.7;230;NA;NA;NA;NA;NA
392;RT;10;12;1998;11:45:00; ;1207-72609;1;;410;1054;28.5;31.5;233;NA;NA;NA;NA;NA
393;CH;10;12;1998;14:30:00; ;1204-45878;2;2;243;334;17.5;19.2;196;NA;NA;NA;NA;NA
394;SS;10;14;1998;13:30:00; ;1423-16242;1;1;170;101;9.8;11;135;NA;NA;NA;NA;NA
395;SS;10;15;1998;14:35:00; ;1343-78477;2;2;210;181;12.2;15;170;NA;NA;NA;NA;NA
396;RT;10;21;1998;10:40:00; ;1207-72610;2;;425;1449;30.3;33;232;NA;NA;NA;NA;NA
397;RT;10;22;1998;14:01:00; ;1387-92178;1;;402;985;26.6;29.8;234;NA;NA;NA;NA;NA
398;RT;10;26;1998;10:17:00; ;1387-92180;2;;480;1598;34.2;35.4;239;NA;NA;NA;NA;NA
399;RT;10;26;1998;12:15:00; ;1387-92181;1;;412;992;30.1;31.5;230;NA;NA;NA;NA;NA
400;CH;10;29;1998;10:25:00; ;1705-24634;1;2;260;569;19.1;24;227;NA;NA;NA;NA;NA
401;RT;11;2;1998;11:55:00; ;1207-72611;2;;381;1354;28.2;32;213;NA;NA;NA;NA;NA
402;RT;11;3;1998;14:53:00; ;1207-72612;2;;392;969;25.9;29;207;NA;NA;NA;NA;NA
403;RT;11;4;1998;10:35:00; ;9387-92182;1;;382;1080;25.3;31;214;NA;NA;NA;NA;NA
404;SS;11;4;1998;12:10:00; ;1343-78478;2;2;196;185;12.5;14;146;NA;NA;NA;NA;NA
405;RT;11;9;1998;01:31:00; ;1387-92183;2;;391;1097;27.9;32.8;217;NA;NA;NA;NA;NA
406;RT;11;11;1998;11:48:00; ;1207-72613;2;;397;1439;28.8;31.4;216;NA;NA;NA;NA;NA
407;RT;11;11;1998;12:52:00; ;1807-53130;1;;361;NA;24.4;27.9;214;NA;NA;NA;NA;NA
408;RT;11;11;1998;14:15:00; ;1387-92184;1;;376;1019;25.8;29.5;216;NA;NA;NA;NA;NA
409;RT;11;12;1998;14:00:00; ;1207-726114;2;;410;1239;29.5;31.8;222;NA;NA;NA;NA;NA
410;RT;11;18;1998;11:30:00; ;1207-72615;1;;381;1399;27.6;31.3;288;NA;NA;NA;NA;NA
411;RT;11;19;1998;13:07:00; ;1387-92185;1;;396;1169;27.5;25.2;238;NA;NA;NA;NA;NA
412;RT;11;20;1998;10:30:00; ;1387-92186;1;;383;1164;27;29.9;199;NA;NA;NA;NA;NA
413;SS;11;20;1998;11:52:00; ;1343-78479;1;2;203;176;11.5;14.7;161;NA;NA;NA;NA;NA
414;RT;9;5;1999;11:35:00; ;1387-92187;1;;271;NA;27.4;33;235;236;NA;NA;2;0
415;CH;9;7;1999;11:00:00; ;1205-24636;1;2;255;429;19;22.9;208;216;NA;NA;NA;NA
416;SS;9;10;1999;11:05:00; ;1423-16243;1;2;196;160;12.3;14.7;137;136;NA;NA;4;1
417;SS;9;13;1999;10:15:00; ;872-09646;1;1;168;105;10.2;11;143;139;NA;NA;2;0
418;RT;9;14;1999;15:30:00; ;1387-92188;1;;392;890;24.1;29.2;219;200;NA;NA;0;1
419;SS;9;16;1999;12:08:00; ;1142-19210;1;1;163;100;9.7;11.6;128;115;NA;NA;2;1
420;SS;9;18;1999;11:10:00; ;2003-99306;1;2;205;NA;13.7;15;161;164;NA;NA;NA;NA
421;RT;9;18;1999;12:08:00; ;1207-72616;1;;395;1215;28.3;33;236;240;NA;NA;2;1
422;SS;9;18;1999;15:08:00; ;1142-19211;1;1;163;100;9.9;11.3;131;137;NA;NA;3;0.3
423;RT;9;18;1999;15:45:00; ;1387-92189;1;;370;1030;27.6;31.4;225;227;NA;NA;2;0
424;CH;9;20;1999;10:17:00; ;1204-45867;2;1;225;340;15.7;19.4;190;198;NA;NA;2;1
425;SS;9;21;1999;12:12:00; ;1213-58901;1;2;197;165;11.9;9.6;150;152;NA;NA;1;0
426;RT;9;21;1999;13:00:00; ;1387-92190;1;;376;985;26.4;30.3;223;219;NA;NA;1;0
427;RT;9;22;1999;10:55:00; ;1387-92191;1;;372;975;26.5;31.6;225;220;NA;NA;1;0.5
428;RT;9;23;1999;11:11:00; ;1207-72617;1;;391;1165;28.2;32.4;241;241;NA;NA;1;1
429;SS;9;24;1999;12:30:00; ;1142-19212;1;;165;95;9.7;11.2;136;138;NA;NA;1;1
430;RT;9;24;1999;14:24:00; ;1387-92192;1;;364;1044;23.5;29;210;222;NA;NA;1;1
431;SS;9;25;1999;11:35:00; ;2003-99307;2;2;202;180;12.9;15;160;158;NA;NA;3;0
432;SS;9;25;1999;12:00:00; ;1142-19213;1;1;163;125;9.7;10.9;135;131;NA;NA;2;1
433;RT;9;25;1999;12:35:00; ;1387-92193;1;1;381;1080;NA;32.3;223;216;NA;NA;NA;NA
434;RT;9;25;1999;14:10:00; ;1387-92194;1;;375;890;24.6;28;219;216;NA;NA;NA;NA
435;RT;9;26;1999;12:55:00; ;1387-92195;1;;392;1105;26.4;33.6;229;225;NA;NA;NA;NA
436;RT;9;29;1999;13:08:00; ;1207-72618;2;;398;1310;28.3;35.2;211;217;NA;NA;2;0
437;RT;9;30;1999;09:20:00; ;1387-19197;1;;371;895;26.8;31;204;206;NA;NA;1;0
438;RT;9;30;1999;12:31:00; ;1387-19298;2;;367;1060;26.8;31;204;206;NA;NA;3;1
439;SS;9;30;1999;13:10:00; ;2003-99308;2;2;193;165;13.2;14.6;146;156;NA;NA;1;0
440;RT;10;2;1999;10:25:00; ;1387-19299;2;;375;960;28.9;29.3;214;202;NA;NA;NA;NA
441;RT;10;4;1999;13:21:00; ;1387-19220;1;;408;1270;29.4;33;236;231;NA;NA;1;1
442;CH;10;4;1999;15:10:00; ;22-06-35428;2;2;252;540;20;28.8;185;211;NA;NA;1;1
443;CH;10;5;1999;09:38:00; ;1204-45868;2;1;237;365;17.3;19.9;195;191;NA;NA;3;NA
444;RT;10;5;1999;10:43:00; ;1177-04601;1;;399;1170;28.3;29.9;247;236;NA;NA;0;0.3
445;CH;10;6;1999;09:45:00; ;1705-24637;2;2;268;590;20;19.9;215;206;NA;NA;2;0.5
446;RT;10;7;1999;12:40:00; ;1207-72619;1;;388;1225;29;31.5;227;219;NA;NA;3;0
447;SS;10;8;1999;13:39:00; ;2003-99309;2;2;200;175;12.3;15.6;155;152;NA;NA;3;0.5
448;SS;10;11;1999;11:13:00; ;2003-99310;1;2;192;170;12.4;15.5;159;150;NA;NA;4;0.5
449;SS;10;11;1999;13:11:00; ;1142-19214;2;1;167;100;10;11.3;132;131;NA;NA;4;0.25
